Article Headline,Onclick Value,Article ID
《김일성전집》 증보판 제12권 출판,"fn_showArticle(""AR0140415"", """", ""NT41"", ""L"")",AR0140415
대중봉사장소에 대한 소독사업 강화,"fn_showArticle(""AR0140410"", """", ""NT41"", ""L"")",AR0140410
"과학자,기술자들은 80일전투에서 개척자,전초병으로서의 역할을 더욱 높여나가자","fn_showArticle(""AR0140402"", """", ""NT41"", ""L"")",AR0140402
전국적으로 논밭가을갈이 결속,"fn_showArticle(""AR0140401"", """", ""NT41"", ""L"")",AR0140401
커다란 생활력을 발휘하고있는 4.15기술혁신돌격대운동,"fn_showArticle(""AR0140400"", """", ""NT41"", ""L"")",AR0140400
우리 나라 특명전권대사가 슬로벤스꼬대통령에게 신임장을 봉정,"fn_showArticle(""AR0140399"", """", ""NT41"", ""L"")",AR0140399
작업현장소독을 구체적으로,"fn_showArticle(""AR0140387"", """", ""NT41"", ""L"")",AR0140387
주체109(2020)년 12월 5일 신문개관,"fn_showArticle(""AR0140386"", """", ""NT41"", ""L"")",AR0140386
전군중적으로 벌어지는 생태환경보호사업,"fn_showArticle(""AR0140385"", """", ""NT41"", ""L"")",AR0140385
사회주의애국림운동 활발,"fn_showArticle(""AR0140384"", """", ""NT41"", ""L"")",AR0140384
농촌들에서 관개시설들을 정비보강,"fn_showArticle(""AR0140383"", """", ""NT41"", ""L"")",AR0140383
최고인민회의 제14기 제4차회의를 소집하기로 결정,"fn_showArticle(""AR0140382"", """", ""NT41"", ""L"")",AR0140382
조선민주주의인민공화국 최고인민회의 상임위원회 제14기 제12차전원회의 진행,"fn_showArticle(""AR0140381"", """", ""NT41"", ""L"")",AR0140381
암성질병치료효과를 높이는 연구성과 이룩,"fn_showArticle(""AR0140356"", """", ""NT41"", ""L"")",AR0140356
우리 나라 특명전권대사가 슬로벤스꼬대통령에게 신임장을 봉정,"fn_showArticle(""AR0140399"", """", ""NT03"", ""L"")",AR0140399
김덕훈동지 라오스수상에게 축전,"fn_showArticle(""AR0140349"", """", ""NT03"", ""L"")",AR0140349
우리 나라 외무상 수리아 외무 및 이주민상에게 축전,"fn_showArticle(""AR0140162"", """", ""NT03"", ""L"")",AR0140162
경애하는 최고령도자 김정은동지께 수리아대통령이 답전을 보내여왔다,"fn_showArticle(""AR0140127"", """", ""NT03"", ""L"")",AR0140127
우리 나라 외무상 레바논 외무 및 이주민상에게 축전,"fn_showArticle(""AR0140108"", """", ""NT03"", ""L"")",AR0140108
우리 나라 특명전권대사가 남아프리카대통령에게 신임장을 봉정,"fn_showArticle(""AR0140086"", """", ""NT03"", ""L"")",AR0140086
우리 나라 외무상 팔레스티나국가 외무 및 이주민상에게 축전,"fn_showArticle(""AR0139944"", """", ""NT03"", ""L"")",AR0139944
우리 나라 외무상 에티오피아 부수상 겸 외무상에게 축전,"fn_showArticle(""AR0139907"", """", ""NT03"", ""L"")",AR0139907
여러 나라에서 주목되는 방역노력,"fn_showArticle(""AR0140439"", """", ""NT06"", ""L"")",AR0140439
아시아에서 신형코로나비루스 계속 전파,"fn_showArticle(""AR0140438"", """", ""NT06"", ""L"")",AR0140438
아프리카에서의 악성전염병전파상황,"fn_showArticle(""AR0140436"", """", ""NT06"", ""L"")",AR0140436
"유럽의 감염자 1 843만 9 800여명,사망자 42만 4 000여명","fn_showArticle(""AR0140434"", """", ""NT06"", ""L"")",AR0140434
아프리카동맹위원회 위원장 경제적통합의 중요성 강조,"fn_showArticle(""AR0140426"", """", ""NT06"", ""L"")",AR0140426
타이와 인디아에서 자연재해,"fn_showArticle(""AR0140424"", """", ""NT06"", ""L"")",AR0140424
아메리카지역에서 신형코로나비루스감염자와 사망자 증가,"fn_showArticle(""AR0140437"", """", ""NT06"", ""L"")",AR0140437
"세계적으로 감염자 6 736만 6 100여명, 사망자 154만 1 280여명","fn_showArticle(""AR0140435"", """", ""NT06"", ""L"")",AR0140435
"중국 수입랭동식품에서 신형코로나비루스 검출,방역대책 강화","fn_showArticle(""AR0140433"", """", ""NT06"", ""L"")",AR0140433
모잠비끄의 살림집건설계획,"fn_showArticle(""AR0140425"", """", ""NT06"", ""L"")",AR0140425
탄자니아와 케니아에서 범죄반대투쟁,"fn_showArticle(""AR0140423"", """", ""NT06"", ""L"")",AR0140423
남조선당국에 경고한다--조선중앙통신사 보도,"fn_showArticle(""AR0138771"", """", ""NT17"", ""L"")",AR0138771
"조선인강제련행피해자,유가족협회 대변인담화","fn_showArticle(""AR0138015"", """", ""NT17"", ""L"")",AR0138015
조선로동당 중앙위원회 제7기 제6차전원회의 결정서--조선로동당 제8차대회를 소집할데 대하여,"fn_showArticle(""AR0137942"", """", ""NT17"", ""L"")",AR0137942
조선일본군성노예 및 강제련행피해자문제대책위원회 대변인성명,"fn_showArticle(""AR0137825"", """", ""NT17"", ""L"")",AR0137825
조선민주주의인민공화국 국무위원회 정령발표,"fn_showArticle(""AR0137794"", """", ""NT17"", ""L"")",AR0137794
조선로동당 중앙위원회 제7기 제16차 정치국회의 공보,"fn_showArticle(""AR0137795"", """", ""NT17"", ""L"")",AR0137795
조선민주주의인민공화국 외무성 대변인대답,"fn_showArticle(""AR0137273"", """", ""NT17"", ""L"")",AR0137273
"《로동신문》 오늘의 ８０일전투에서 승리를 이룩할수 있는 위력한 힘은 인민대중의 사상의 힘, 정신력이라고 강조","fn_showArticle(""AR0140419"", """", ""NT16"", ""L"")",AR0140419
주체109(2020)년 12월 7일 《로동신문》개관,"fn_showArticle(""AR0140418"", """", ""NT16"", ""L"")",AR0140418
"과학자,기술자들은 80일전투에서 개척자,전초병으로서의 역할을 더욱 높여나가자","fn_showArticle(""AR0140402"", """", ""NT16"", ""L"")",AR0140402
주체109(2020)년 12월 5일 신문개관,"fn_showArticle(""AR0140386"", """", ""NT16"", ""L"")",AR0140386
조선민족말살을 노린 극악한 범죄,"fn_showArticle(""AR0140362"", """", ""NT16"", ""L"")",AR0140362
《로동신문》 백두산정신을 구현하는것은 명작창작의 중요한 요구이라고 강조,"fn_showArticle(""AR0140360"", """", ""NT16"", ""L"")",AR0140360
사회주의준법기풍을 철저히 확립하자,"fn_showArticle(""AR0140359"", """", ""NT16"", ""L"")",AR0140359
경애하는 최고령도자 김정은동지께 반제민전에서 축하편지를 드리였다,"fn_showArticle(""AR0139094"", """", ""NT02"", ""L"")",AR0139094
재일조선학교차별책동을 규탄하는 집회 일본에서 진행,"fn_showArticle(""AR0140350"", """", ""NT05"", ""L"")",AR0140350
조선학교차별책동에 편승한 일본법원의 판결에 항의,"fn_showArticle(""AR0139737"", """", ""NT05"", ""L"")",AR0139737
《총련분회대표자대회-2020》(새 전성기 3차대회) 진행,"fn_showArticle(""AR0139723"", """", ""NT05"", ""L"")",AR0139723
경애하는 김정은원수님께 《총련분회대표자대회-2020》 참가자들이 편지를 드리였다,"fn_showArticle(""AR0139722"", """", ""NT05"", ""L"")",AR0139722
"일본 혹가이도에서 유아교육,보육지원제도적용을 요구하는 거리선전활동 전개","fn_showArticle(""AR0139399"", """", ""NT05"", ""L"")",AR0139399
총련애국위업수행에서 새로운 승리의 격변기를 열어나가기 위한 힘찬 진군,"fn_showArticle(""AR0139398"", """", ""NT05"", ""L"")",AR0139398
조선로동당창건 75돐을 재중동포들 뜻깊게 경축,"fn_showArticle(""AR0139220"", """", ""NT05"", ""L"")",AR0139220
월도간석지건설장에서 30만산대발파 진행,"fn_showArticle(""AR0140445"", """", ""NT60"", ""L"")",AR0140445
경공업성 편직공업관리국에서 80일전투목표수행단위 련이어 배출,"fn_showArticle(""AR0140444"", """", ""NT60"", ""L"")",AR0140444
천리마제강련합기업소에서 강철생산량 증가,"fn_showArticle(""AR0140443"", """", ""NT60"", ""L"")",AR0140443
남흥청년화학련합기업소에서 매일 비료생산계획 넘쳐 수행,"fn_showArticle(""AR0140442"", """", ""NT60"", ""L"")",AR0140442
개건현대화된 구장양어사업소 준공,"fn_showArticle(""AR0140441"", """", ""NT60"", ""L"")",AR0140441
향산야외빙상장 새로 건설,"fn_showArticle(""AR0140440"", """", ""NT60"", ""L"")",AR0140440
지방경제발전과 인민생활향상을 위한 사업에서 성과 달성,"fn_showArticle(""AR0140431"", """", ""NT60"", ""L"")",AR0140431
겨울철조건에 맞게 비상방역사업 강화,"fn_showArticle(""AR0140428"", """", ""NT60"", ""L"")",AR0140428
신의주청년야외극장 새로 건설,"fn_showArticle(""AR0140417"", """", ""NT60"", ""L"")",AR0140417
개건현대화된 평북돼지공장 준공,"fn_showArticle(""AR0140416"", """", ""NT60"", ""L"")",AR0140416
최고인민회의 제14기 제4차회의를 소집하기로 결정,"fn_showArticle(""AR0140382"", """", ""NT21"", ""L"")",AR0140382
조선민주주의인민공화국 최고인민회의 상임위원회 제14기 제12차전원회의 진행,"fn_showArticle(""AR0140381"", """", ""NT21"", ""L"")",AR0140381
김덕훈 내각총리 인민경제 여러 단위를 현지료해,"fn_showArticle(""AR0140240"", """", ""NT21"", ""L"")",AR0140240
"광산도시의 휘황한 래일을 그려주는 검덕지구의 전변,삶의 새 터전에 넘치는 인민의 기쁨","fn_showArticle(""AR0140196"", """", ""NT21"", ""L"")",AR0140196
신의주방직공장 로동자합숙 준공식 진행,"fn_showArticle(""AR0140176"", """", ""NT21"", ""L"")",AR0140176
경애하는 최고령도자 김정은동지께 수리아대통령이 답전을 보내여왔다,"fn_showArticle(""AR0140127"", """", ""NT21"", ""L"")",AR0140127
로동당의 은덕으로 끝없이 넘쳐나는 복받은 인민의 환희,"fn_showArticle(""AR0140109"", """", ""NT21"", ""L"")",AR0140109
"조선로동당원의 당성,혁명성,인민성과 투쟁본때를 힘있게 과시","fn_showArticle(""AR0140088"", """", ""NT21"", ""L"")",AR0140088
최정예수도당원사단의 영웅적위훈은 우리 당력사에 길이 빛날것이다,"fn_showArticle(""AR0140065"", """", ""NT21"", ""L"")",AR0140065
주체의 최고성지 금수산태양궁전광장에서 수도당원사단 전투원들의 충성의 보고모임 진행,"fn_showArticle(""AR0140067"", """", ""NT21"", ""L"")",AR0140067
로씨야 2030년까지의 체육발전전략을 작성,"fn_showArticle(""AR0140408"", """", ""NT11"", ""L"")",AR0140408
우리 인민이 기억하는 올림픽금메달수상자들(11)--세계를 놀래운 《검은말》-엄윤철,"fn_showArticle(""AR0140332"", """", ""NT11"", ""L"")",AR0140332
바둑을 발전시키기 위한 노력,"fn_showArticle(""AR0140315"", """", ""NT11"", ""L"")",AR0140315
체육연구원에서 수십건의 연구성과 달성,"fn_showArticle(""AR0140250"", """", ""NT11"", ""L"")",AR0140250
민족의 정통무도-태권도,"fn_showArticle(""AR0140182"", """", ""NT11"", ""L"")",AR0140182
커다란 생활력을 발휘하고있는 4.15기술혁신돌격대운동,"fn_showArticle(""AR0140400"", """", ""NT09"", ""L"")",AR0140400
로씨야에서 운반로케트 발사,"fn_showArticle(""AR0140393"", """", ""NT09"", ""L"")",AR0140393
우주과학기술토론회-2020 진행,"fn_showArticle(""AR0140299"", """", ""NT09"", ""L"")",AR0140299
체육연구원에서 수십건의 연구성과 달성,"fn_showArticle(""AR0140250"", """", ""NT09"", ""L"")",AR0140250
애국적인 수의학자,"fn_showArticle(""AR0140165"", """", ""NT09"", ""L"")",AR0140165
중국에서 달탐측기 발사,"fn_showArticle(""AR0140154"", """", ""NT09"", ""L"")",AR0140154
80일전투에 이바지하는 새 기술자료들 보급,"fn_showArticle(""AR0139997"", """", ""NT09"", ""L"")",AR0139997
자행굴착선을 건조하여 간석지건설에 리용,"fn_showArticle(""AR0139901"", """", ""NT09"", ""L"")",AR0139901
활발히 전개되는 모범과학기술보급실쟁취운동,"fn_showArticle(""AR0139850"", """", ""NT09"", ""L"")",AR0139850
록색재료인 흙경화제를 적극 도입,"fn_showArticle(""AR0139815"", """", ""NT09"", ""L"")",AR0139815
사소한 빈틈도 없이,"fn_showArticle(""AR0140341"", """", ""NT10"", ""L"")",AR0140341
대중봉사장소에 대한 소독사업 강화,"fn_showArticle(""AR0140410"", """", ""NT10"", ""L"")",AR0140410
작업현장소독을 구체적으로,"fn_showArticle(""AR0140387"", """", ""NT10"", ""L"")",AR0140387
대중봉사장소에 대한 소독사업 강화,"fn_showArticle(""AR0140379"", """", ""NT10"", ""L"")",AR0140379
